#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
2	IPR011545	DNA/RNA helicase, DEAD/DEAH box type, N-terminal	HMMPfam	PF00270	DEAD	1	917,	1072,	2.4e-15
24	IPR001002	Chitin-binding, type 1	superfamily	SSF57016	Plant lectins/antimicrobial peptides	1	60,	97,	1.6e-06
25	IPR002482	Peptidoglycan-binding LysM	HMMPfam	PF01476	LysM	2	23,382,	49,414,	1.2e-06,4.5e-06
25	IPR002482	Peptidoglycan-binding LysM	HMMSmart	SM00257	no description	2	22,381,	55,426,	0.65,0.053
26	IPR001810	Cyclin-like F-box	HMMPfam	PF00646	F-box	1	282,	329,	0.48
27	IPR002110	Ankyrin	FPrintScan	PR01415	ANKYRIN	2	205,217,	217,229,	2.6,2.6
27	IPR002110	Ankyrin	HMMPfam	PF00023	Ank	3	121,138,204,	133,170,236,	9.4,0.011,1.4e-05
27	IPR002110	Ankyrin	HMMSmart	SM00248	no description	4	105,138,204,237,	133,167,233,268,	2.7e+03,2.5,0.25,16
27	IPR002110	Ankyrin	ProfileScan	PS50088	ANK_REPEAT	2	138,204,	170,236,	9.137,11.861
27	IPR002110	Ankyrin	ProfileScan	PS50297	ANK_REP_REGION	1	109,	257,	19.041
27	IPR002110	Ankyrin	superfamily	SSF48403	Ankyrin repeat	1	9,	263,	1.1e-26
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	FPrintScan	PR00054	FUNGALZNCYS	3	13,20,29,	19,26,39,	58,58,58
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	12,	50,	0.00012
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	8,	52,	1.1e-06
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	13,	43,	9.919
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	13,	41,	NA
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	1,	55,	1.3e-09
34	IPR003663	Sugar transporter	FPrintScan	PR00171	SUGRTRNSPORT	3	23,119,406,	33,138,418,	5.1e-09,5.1e-09,5.1e-09
34	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar_tr	1	15,	481,	1.1e-66
34	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	15,	470,	26.691
34	IPR005829	Sugar transporter, conserved site	ScanRegExp	PS00217	SUGAR_TRANSPORT_2	1	124,	149,	8e-5
34	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	1,	497,	5.9e-52
35	IPR002016	Haem peroxidase, plant/fungal/bacterial	ScanRegExp	PS00435	PEROXIDASE_1	1	168,	178,	NA
35	IPR016197	Chromo domain-like	superfamily	SSF54160	Chromo domain-like	1	216,	238,	0.0089
36	IPR000477	RNA-directed DNA polymerase (reverse transcriptase)	HMMPfam	PF00078	RVT_1	1	23,	109,	2.2e-16
39	IPR000254	Cellulose-binding region, fungal	BlastProDom	PD001821	Q8TFP1_ASPNG_Q8TFP1;	1	799,	824,	3e-05
39	IPR000254	Cellulose-binding region, fungal	HMMPfam	PF00734	CBM_1	1	794,	822,	1.9e-09
39	IPR002860	BNR repeat	HMMPfam	PF02012	BNR	8	122,174,241,346,518,600,643,692,	133,185,252,357,529,611,654,703,	0.34,0.26,1.4,1.2,0.75,16,0.96,15
39	IPR000254	Cellulose-binding region, fungal	HMMSmart	SM00236	no description	1	793,	826,	5.7e-11
39	IPR000254	Cellulose-binding region, fungal	ProfileScan	PS51164	CBM1_2	1	790,	826,	10.719
39	IPR000254	Cellulose-binding region, fungal	superfamily	SSF57180	Cellulose-binding domain	1	791,	826,	3.4e-11
45	IPR000340	Protein-tyrosine phosphatase, dual specificity	HMMPfam	PF00782	DSPc	1	279,	390,	9.5e-18
45	IPR000340	Protein-tyrosine phosphatase, dual specificity	HMMSmart	SM00195	no description	1	251,	392,	1.1e-09
45	IPR003595	Protein-tyrosine phosphatase, catalytic	HMMSmart	SM00404	no description	1	303,	394,	0.00087
45	IPR000387	Protein-tyrosine phosphatase	ProfileScan	PS50056	TYR_PHOSPHATASE_2	1	319,	385,	17.599
45	IPR016130	Protein-tyrosine phosphatase, active site	ScanRegExp	PS00383	TYR_PHOSPHATASE_1	1	338,	350,	8e-5
48	IPR001714	Peptidase M24, methionine aminopeptidase	FPrintScan	PR00599	MAPEPTIDASE	4	144,166,239,270,	157,182,251,282,	1.5e-17,1.5e-17,1.5e-17,1.5e-17
48	IPR000994	Peptidase M24, catalytic core	HMMPfam	PF00557	Peptidase_M24	1	88,	320,	3.3e-64
48	IPR002467	Peptidase M24A, methionine aminopeptidase, subfamily 1	HMMTigr	TIGR00500	met_pdase_I: methionine aminopeptidase, t	1	79,	321,	4.1e-95
48	IPR000994	Peptidase M24, catalytic core	superfamily	SSF55920	Creatinase/aminopeptidase	1	31,	324,	2.2e-70
49	IPR015813	Pyruvate/Phosphoenolpyruvate kinase, catalytic core	superfamily	SSF51621	Phosphoenolpyruvate/pyruvate domain	1	49,	125,	1.7e-14
51	IPR000182	GCN5-related N-acetyltransferase	HMMPfam	PF00583	Acetyltransf_1	1	201,	282,	3.8e-07
51	IPR000182	GCN5-related N-acetyltransferase	ProfileScan	PS51186	GNAT	1	153,	298,	15.108
51	IPR016181	Acyl-CoA N-acyltransferase	superfamily	SSF55729	Acyl-CoA N-acyltransferases (Nat)	1	72,	290,	1.4e-19
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	FPrintScan	PR00054	FUNGALZNCYS	3	16,23,32,	22,29,42,	90,90,90
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	15,	55,	1e-07
52	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	332,	427,	0.0023
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	11,	57,	7.9e-08
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	16,	48,	10.821
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	16,	46,	8e-5
52	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	4,	60,	5.9e-11
53	IPR001841	Zinc finger, RING-type	HMMPfam	PF00097	zf-C3HC4	1	81,	122,	4.3e-07
53	IPR001841	Zinc finger, RING-type	HMMSmart	SM00184	no description	1	81,	122,	4.3e-07
53	IPR001841	Zinc finger, RING-type	ProfileScan	PS50089	ZF_RING_2	1	81,	123,	12.179
54	IPR003663	Sugar transporter	FPrintScan	PR00171	SUGRTRNSPORT	5	17,104,269,361,384,	27,123,279,382,396,	3.5e-20,3.5e-20,3.5e-20,3.5e-20,3.5e-20
54	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar_tr	1	9,	461,	3.1e-106
54	IPR003663	Sugar transporter	HMMTigr	TIGR00879	SP: MFS transporter, sugar porter (SP) famil	1	1,	457,	1.7e-76
54	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	9,	450,	43.237
54	IPR005829	Sugar transporter, conserved site	ScanRegExp	PS00216	SUGAR_TRANSPORT_1	2	67,314,	84,331,	NA,NA
54	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	1,	458,	5.7e-65
55	IPR002524	Cation efflux protein	HMMPfam	PF01545	Cation_efflux	1	240,	518,	1.2e-33
55	IPR002524	Cation efflux protein	HMMTigr	TIGR01297	CDF: cation diffusion facilitator family tra	1	236,	516,	6.9e-25
58	IPR001542	Arthropod defensin	HMMPfam	PF01097	Defensin_2	1	43,	73,	6.9e-10
59	IPR002401	Cytochrome P450, E-class, group I	FPrintScan	PR00463	EP450I	8	58,82,307,327,370,411,454,464,	77,103,324,353,388,435,464,487,	9.7e-31,9.7e-31,9.7e-31,9.7e-31,9.7e-31,9.7e-31,9.7e-31,9.7e-31
59	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	30,	512,	1.1e-48
59	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	30,	526,	5.8e-94
60	IPR011588	Glyoxalase/extradiol ring-cleavage dioxygenase	BlastProDom	PD002334	Q7SA40_NEUCR_Q7SA40;	1	216,	334,	3e-53
60	IPR004360	Glyoxalase/bleomycin resistance protein/dioxygenase	HMMPfam	PF00903	Glyoxalase	1	215,	335,	0.0027
61	IPR003042	Aromatic-ring hydroxylase	FPrintScan	PR00420	RNGMNOXGNASE	6	33,218,354,369,387,405,	55,233,369,385,405,421,	9.6e-36,9.6e-36,9.6e-36,9.6e-36,9.6e-36,9.6e-36
61	IPR002938	Monooxygenase, FAD-binding	HMMPfam	PF01494	FAD_binding_3	1	31,	420,	3.2e-99
62	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	140,	243,	0.0007
63	IPR002529	Fumarylacetoacetase, C-terminal-like	HMMPfam	PF01557	FAA_hydrolase	1	94,	260,	6.1e-56
63	IPR011234	Fumarylacetoacetase, C-terminal-related	superfamily	SSF56529	FAH	1	69,	288,	5.8e-66
64	IPR004839	Aminotransferase, class I and II	HMMPfam	PF00155	Aminotran_1_2	1	97,	508,	3.8e-05
64	IPR002052	N-6 adenine-specific DNA methylase, conserved site	ScanRegExp	PS00092	N6_MTASE	1	151,	157,	NA
64	IPR015424	Pyridoxal phosphate-dependent transferase, major region	superfamily	SSF53383	PLP-dependent transferases	1	48,	513,	1.2e-64
69	IPR003953	Fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal	HMMPfam	PF00890	FAD_binding_2	1	23,	58,	1.1e-05
71	IPR013094	Alpha/beta hydrolase fold-3	HMMPfam	PF07859	Abhydrolase_3	1	132,	352,	2.3e-34
71	IPR002168	Lipase, GDXG, active site	ScanRegExp	PS01174	LIPASE_GDXG_SER	1	208,	220,	8e-5
72	IPR006153	Sodium/hydrogen exchanger	HMMPfam	PF00999	Na_H_Exchanger	1	46,	403,	1.3e-12
74	IPR016181	Acyl-CoA N-acyltransferase	superfamily	SSF55729	Acyl-CoA N-acyltransferases (Nat)	1	281,	373,	0.017
75	IPR011701	Major facilitator superfamily MFS-1	HMMPfam	PF07690	MFS_1	1	66,	426,	5.9e-30
75	IPR001917	Aminotransferase, class-II, pyridoxal-phosphate binding site	ScanRegExp	PS00599	AA_TRANSFER_CLASS_2	1	350,	359,	NA
75	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	14,	440,	1.3e-62
76	IPR001236	Lactate/malate dehydrogenase	HMMPfam	PF00056	Ldh_1_N	1	2,	144,	3.8e-52
76	IPR001236	Lactate/malate dehydrogenase	HMMPfam	PF02866	Ldh_1_C	1	146,	321,	9.9e-52
76	IPR001557	L-lactate/malate dehydrogenase	HMMPIR	PIRSF000102	L-lactate/malate dehydrogenase	1	1,	318,	1.7e-43
76	IPR010097	Malate dehydrogenase, NAD-dependent, eukaryotes and gamma proteobacteria	HMMTigr	TIGR01772	MDH_euk_gproteo: malate dehydrogenase	1	3,	323,	9.3e-131
76	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	2,	144,	3.7e-36
76	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	superfamily	SSF56327	LDH C-terminal domain-like	1	145,	321,	1e-40
77	IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic region	HMMPfam	PF00389	2-Hacid_dh	1	89,	319,	1.2e-13
77	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	HMMPfam	PF02826	2-Hacid_dh_C	1	114,	287,	4.5e-75
77	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	ScanRegExp	PS00065	D_2_HYDROXYACID_DH_1	1	151,	178,	8e-5
77	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	ScanRegExp	PS00670	D_2_HYDROXYACID_DH_2	1	198,	220,	8e-5
77	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	ScanRegExp	PS00671	D_2_HYDROXYACID_DH_3	1	227,	243,	8e-5
77	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	105,	289,	1.5e-53
78	IPR003663	Sugar transporter	FPrintScan	PR00171	SUGRTRNSPORT	3	24,155,316,	34,174,326,	7.7e-07,7.7e-07,7.7e-07
78	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar_tr	1	16,	508,	5.3e-95
78	IPR003663	Sugar transporter	HMMTigr	TIGR00879	SP: MFS transporter, sugar porter (SP) famil	1	26,	504,	1e-61
78	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	16,	497,	32.965
78	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	50,	505,	1.5e-56
79	IPR002007	Haem peroxidase, animal	FPrintScan	PR00457	ANPEROXIDASE	4	244,364,423,561,	259,390,433,581,	7.4e-13,7.4e-13,7.4e-13,7.4e-13
79	IPR002007	Haem peroxidase, animal	HMMPfam	PF03098	An_peroxidase	1	180,	663,	4.1e-13
79	IPR002007	Haem peroxidase, animal	ProfileScan	PS50292	PEROXIDASE_3	1	171,	689,	38.801
79	IPR010255	Haem peroxidase	superfamily	SSF48113	Heme-dependent peroxidases	1	117,	671,	5.4e-123
79	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	657,	1094,	1.5e-20
83	IPR000759	Adrenodoxin reductase	FPrintScan	PR00419	ADXRDTASE	2	6,29,	28,42,	9.8e-08,9.8e-08
83	IPR002937	Amine oxidase	HMMPfam	PF01593	Amino_oxidase	1	14,	495,	1.7e-27
86	IPR001451	Bacterial transferase hexapeptide repeat	HMMPfam	PF00132	Hexapep	3	30,107,130,	47,124,147,	32,42,0.24
86	IPR011004	Trimeric LpxA-like	superfamily	SSF51161	Trimeric LpxA-like enzymes	1	1,	179,	2.7e-22
87	IPR001296	Glycosyl transferase, group 1	HMMPfam	PF00534	Glycos_transf_1	1	468,	642,	3.6e-13
88	IPR006689	ARF/SAR superfamily	FPrintScan	PR00328	SAR1GTPBP	3	19,75,120,	42,100,141,	2.3e-14,2.3e-14,2.3e-14
88	IPR001806	Ras GTPase	FPrintScan	PR00449	RASTRNSFRMNG	3	18,55,118,	39,77,131,	1e-06,1e-06,1e-06
88	IPR006689	ARF/SAR superfamily	HMMPfam	PF00025	Arf	1	4,	178,	2.8e-106
88	IPR003579	Ras small GTPase, Rab type	HMMSmart	SM00175	no description	1	18,	178,	0.0057
88	IPR006688	ADP-ribosylation factor	HMMSmart	SM00177	no description	1	1,	182,	4.2e-106
88	IPR006687	GTP-binding protein SAR1	HMMSmart	SM00178	no description	1	3,	178,	7.5e-21
88	IPR005225	Small GTP-binding protein	HMMTigr	TIGR00231	small_GTP: small GTP-binding protein domain	1	15,	170,	1.4e-21
89	IPR002629	Methionine synthase, vitamin-B12 independent	HMMPfam	PF01717	Meth_synt_2	1	14,	394,	6.1e-05
91	IPR002198	Short-chain dehydrogenase/reductase SDR	FPrintScan	PR00080	SDRFAMILY	3	107,161,183,	118,169,202,	2.9e-06,2.9e-06,2.9e-06
91	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	5	29,107,155,210,246,	46,118,171,227,266,	1.6e-21,1.6e-21,1.6e-21,1.6e-21,1.6e-21
91	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	1	28,	202,	5.4e-19
91	IPR002198	Short-chain dehydrogenase/reductase SDR	ScanRegExp	PS00061	ADH_SHORT	1	170,	198,	NA
91	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	26,	282,	1.8e-64
92	IPR002018	Carboxylesterase, type B	HMMPfam	PF00135	COesterase	1	7,	532,	8.6e-75
92	IPR002018	Carboxylesterase, type B	ScanRegExp	PS00122	CARBOXYLESTERASE_B_1	1	204,	219,	8e-5
92	IPR002018	Carboxylesterase, type B	ScanRegExp	PS00941	CARBOXYLESTERASE_B_2	1	102,	112,	8e-5
94	IPR002671	Ribosomal protein L22e	BlastProDom	PD007306	Q871V1_NEUCR_Q871V1;	1	37,	124,	4e-27
94	IPR002671	Ribosomal protein L22e	HMMPfam	PF01776	Ribosomal_L22e	1	9,	124,	8.8e-70
95	IPR013520	Exonuclease, RNase T and DNA polymerase III	HMMPfam	PF00929	Exonuc_X-T	1	407,	585,	5.6e-08
95	IPR006055	Exonuclease	HMMSmart	SM00479	no description	1	406,	594,	2.1e-15
95	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	389,	591,	4.5e-12
96	IPR013148	Glycosyl hydrolases family 32, N-terminal	HMMPfam	PF00251	Glyco_hydro_32N	1	38,	381,	2.3e-108
96	IPR013189	Glycosyl hydrolase family 32, C-terminal	HMMPfam	PF08244	Glyco_hydro_32C	1	419,	506,	4.1e-21
96	IPR001362	Glycoside hydrolase, family 32	HMMSmart	SM00640	no description	1	38,	506,	1.6e-121
96	IPR001362	Glycoside hydrolase, family 32	ScanRegExp	PS00609	GLYCOSYL_HYDROL_F32	1	38,	51,	8e-5
96	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	1	385,	547,	4.5e-24
97	IPR009021	Viral protein, DNA-binding	superfamily	SSF54957	Viral DNA-binding domain	1	252,	322,	0.0023
98	IPR005135	Endonuclease/exonuclease/phosphatase	superfamily	SSF56219	DNase I-like	1	685,	836,	7.1e-06
101	IPR000504	RNA recognition motif, RNP-1	HMMPfam	PF00076	RRM_1	1	415,	479,	3e-10
101	IPR000504	RNA recognition motif, RNP-1	HMMSmart	SM00360	no description	1	414,	480,	6.8e-11
101	IPR000504	RNA recognition motif, RNP-1	ProfileScan	PS50102	RRM	1	413,	484,	15.494
101	IPR004154	Anticodon-binding	superfamily	SSF52954	Anticodon-binding domain of Class II aaRS	1	626,	701,	2.2e-09
102	IPR003213	Cytochrome c oxidase, subunit VIb	superfamily	SSF47694	Cytochrome c oxidase subunit h	1	8,	92,	2e-07
104	IPR001303	Class II aldolase/adducin, N-terminal	HMMPfam	PF00596	Aldolase_II	1	75,	276,	1.9e-62
104	IPR001303	Class II aldolase/adducin, N-terminal	superfamily	SSF53639	AraD-like aldolase/epimerase	1	68,	296,	6.8e-71
105	IPR007720	N-acetylglucosaminyl transferase component	HMMPfam	PF05024	Gpi1	1	340,	478,	1.5e-41
