#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
264	84	KOG1286	Amino acid transporters	Amino acid transport and metabolism 	METABOLISM
266	86	KOG3121	Dynactin, subunit p25	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
267	87	KOG0853	Glycosyltransferase	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
268	88	KOG0071	GTP-binding ADP-ribosylation factor Arf6 (dArf3)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
271	91	KOG0725	Reductases with broad range of substrate specificities	General function prediction only 	POORLY CHARACTERIZED
272	92	KOG4389	Acetylcholinesterase/Butyrylcholinesterase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
274	94	KOG3434	60S ribosomal protein L22	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
275	95	KOG2248	3'-5' exonuclease	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
276	96	KOG0228	Beta-fructofuranosidase (invertase)	Carbohydrate transport and metabolism 	METABOLISM
277	97	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
278	98	KOG3979	FGF receptor activating protein 1	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
279	99	KOG2396	HAT (Half-A-TPR) repeat-containing protein	General function prediction only 	POORLY CHARACTERIZED
280	100	KOG3429	Predicted peptidyl-tRNA hydrolase	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
281	101	KOG0118	FOG: RRM domain	General function prediction only 	POORLY CHARACTERIZED
282	102	KOG3057	Cytochrome c oxidase, subunit VIb/COX12	Energy production and conversion 	METABOLISM
283	103	KOG4697	Integral membrane protein involved in transport between the late Golgi and endosome	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
284	104	KOG3699	Cytoskeletal protein Adducin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
284	104	KOG3699	Cytoskeletal protein Adducin	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
285	105	KOG1183	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
285	105	KOG1183	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
286	106	KOG0219	Mismatch repair ATPase MSH2 (MutS family)	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
289	109	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED
292	112	KOG2206	Exosome 3'-5' exoribonuclease complex, subunit PM/SCL-100 (Rrp6)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
293	113	KOG3481	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
294	114	KOG3187	Protein tyrosine phosphatase-like protein PTPLA (contains Pro instead of catalytic Arg)	General function prediction only 	POORLY CHARACTERIZED
296	116	KOG2128	Ras GTPase-activating protein family - IQGAP	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
297	117	KOG1471	Phosphatidylinositol transfer protein SEC14 and related proteins	Lipid transport and metabolism 	METABOLISM
299	119	KOG3669	Uncharacterized conserved protein, contains dysferlin, TECPR and PH domains	General function prediction only 	POORLY CHARACTERIZED
301	121	KOG3139	N-acetyltransferase	General function prediction only 	POORLY CHARACTERIZED
302	122	KOG2369	Lecithin:cholesterol acyltransferase (LCAT)/Acyl-ceramide synthase	Lipid transport and metabolism 	METABOLISM
304	124	KOG4473	Uncharacterized membrane protein	Function unknown 	POORLY CHARACTERIZED
306	126	KOG1616	Protein involved in Snf1 protein kinase complex assembly	Carbohydrate transport and metabolism 	METABOLISM
307	127	KOG1113	cAMP-dependent protein kinase types I and II, regulatory subunit	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
309	129	KOG2294	Transcription factor of the Forkhead/HNF3 family	Transcription 	INFORMATION STORAGE AND PROCESSING
310	130	KOG1674	Cyclin	General function prediction only 	POORLY CHARACTERIZED
311	131	KOG1878	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains	Transcription 	INFORMATION STORAGE AND PROCESSING
312	132	KOG2069	Golgi transport complex subunit	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
313	133	KOG0123	Polyadenylate-binding protein (RRM superfamily)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
313	133	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
314	134	KOG0834	CDK9 kinase-activating protein cyclin T	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
315	135	KOG0598	Ribosomal protein S6 kinase and related proteins	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
315	135	KOG0598	Ribosomal protein S6 kinase and related proteins	General function prediction only 	POORLY CHARACTERIZED
317	137	KOG2544	Dihydropteroate synthase/7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase/Dihydroneopterin aldolase	Coenzyme transport and metabolism 	METABOLISM
318	138	KOG0106	Alternative splicing factor SRp55/B52/SRp75 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
319	139	KOG2415	Electron transfer flavoprotein ubiquinone oxidoreductase	Energy production and conversion 	METABOLISM
320	140	KOG3302	TATA-box binding protein (TBP), component of TFIID and TFIIIB	Transcription 	INFORMATION STORAGE AND PROCESSING
321	141	KOG2820	FAD-dependent oxidoreductase	General function prediction only 	POORLY CHARACTERIZED
322	142	KOG4300	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
323	143	KOG4304	Transcriptional repressors of the hairy/E(spl) family (contains HLH)	Transcription 	INFORMATION STORAGE AND PROCESSING
325	145	KOG4297	C-type lectin	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
325	145	KOG4297	C-type lectin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
327	147	KOG0995	Centromere-associated protein HEC1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
328	148	KOG2629	Peroxisomal membrane anchor protein (peroxin)	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
328	148	KOG2629	Peroxisomal membrane anchor protein (peroxin)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
328	148	KOG2629	Peroxisomal membrane anchor protein (peroxin)	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
329	149	KOG4297	C-type lectin	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
329	149	KOG4297	C-type lectin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
330	150	KOG2157	Predicted tubulin-tyrosine ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
331	151	KOG4200	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
332	152	KOG1831	Negative regulator of transcription	Transcription 	INFORMATION STORAGE AND PROCESSING
333	153	KOG3020	TatD-related DNase	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
334	154	KOG2398	Predicted proline-serine-threonine phosphatase-interacting protein (PSTPIP)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
336	156	KOG0505	Myosin phosphatase, regulatory subunit	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
336	156	KOG0505	Myosin phosphatase, regulatory subunit	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
338	158	KOG3056	Protein required for S-phase initiation or completion	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
339	159	KOG4705	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
340	160	KOG0631	Galactokinase	Carbohydrate transport and metabolism 	METABOLISM
341	161	KOG4166	Thiamine pyrophosphate-requiring enzyme	Amino acid transport and metabolism 	METABOLISM
341	161	KOG4166	Thiamine pyrophosphate-requiring enzyme	Coenzyme transport and metabolism 	METABOLISM
342	162	KOG3053	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
343	163	KOG4778	Mitochondrial ribosomal protein L28	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
344	164	KOG0393	Ras-related small GTPase, Rho type	General function prediction only 	POORLY CHARACTERIZED
345	165	KOG4297	C-type lectin	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
345	165	KOG4297	C-type lectin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
346	166	KOG1107	Membrane coat complex Retromer, subunit VPS35	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
349	169	KOG4840	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	General function prediction only 	POORLY CHARACTERIZED
350	170	KOG2978	Dolichol-phosphate mannosyltransferase	General function prediction only 	POORLY CHARACTERIZED
352	172	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
354	174	KOG0151	Predicted splicing regulator, contains RRM, SWAP and RPR domains	General function prediction only 	POORLY CHARACTERIZED
355	175	KOG2104	Nuclear transport factor 2	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
358	178	KOG1110	Putative steroid membrane receptor Hpr6.6/25-Dx	General function prediction only 	POORLY CHARACTERIZED
360	180	KOG4766	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
361	181	KOG0670	U4/U6-associated splicing factor PRP4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
362	182	KOG0583	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
363	183	KOG1200	Mitochondrial/plastidial beta-ketoacyl-ACP reductase	Lipid transport and metabolism 	METABOLISM
365	185	KOG0748	Predicted membrane proteins, contain hemolysin III domain	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
365	185	KOG0748	Predicted membrane proteins, contain hemolysin III domain	General function prediction only 	POORLY CHARACTERIZED
367	187	KOG2796	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
369	189	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
370	190	KOG1597	Transcription initiation factor TFIIB	Transcription 	INFORMATION STORAGE AND PROCESSING
372	192	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
373	193	KOG2195	Transferrin receptor and related proteins containing the protease-associated (PA) domain	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
373	193	KOG2195	Transferrin receptor and related proteins containing the protease-associated (PA) domain	Inorganic ion transport and metabolism 	METABOLISM
373	193	KOG2195	Transferrin receptor and related proteins containing the protease-associated (PA) domain	General function prediction only 	POORLY CHARACTERIZED
375	195	KOG1393	Hydroxymethylglutaryl-CoA synthase	Lipid transport and metabolism 	METABOLISM
380	200	KOG0204	Calcium transporting ATPase	Inorganic ion transport and metabolism 	METABOLISM
381	201	KOG3380	Actin-related protein Arp2/3 complex, subunit ARPC5	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
382	202	KOG2940	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
383	203	KOG3896	Dynactin, subunit p62	Cell motility 	CELLULAR PROCESSES AND SIGNALING
384	204	KOG3320	40S ribosomal protein S7	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
385	205	KOG0092	GTPase Rab5/YPT51 and related small G protein superfamily GTPases	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
392	212	KOG1839	Uncharacterized protein CLU1/cluA/TIF31 involved in mitochondrial morphology/distribution, also found associated with eIF-3	General function prediction only 	POORLY CHARACTERIZED
393	213	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
394	214	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Inorganic ion transport and metabolism 	METABOLISM
394	214	KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
395	215	KOG0867	Glutathione S-transferase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
396	216	KOG0119	Splicing factor 1/branch point binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
397	217	KOG1172	Na+-independent Cl/HCO3 exchanger AE1 and related transporters (SLC4 family)	Inorganic ion transport and metabolism 	METABOLISM
398	218	KOG0340	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
399	219	KOG0516	Dystonin, GAS (Growth-arrest-specific protein), and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
401	221	KOG2945	Predicted RNA-binding protein	General function prediction only 	POORLY CHARACTERIZED
403	223	KOG3133	40 kDa farnesylated protein associated with peroxisomes	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
404	224	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
405	225	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
405	225	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Carbohydrate transport and metabolism 	METABOLISM
406	226	KOG0789	Protein tyrosine phosphatase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
408	228	KOG1472	Histone acetyltransferase SAGA/ADA, catalytic subunit PCAF/GCN5 and related proteins	Transcription 	INFORMATION STORAGE AND PROCESSING
408	228	KOG1472	Histone acetyltransferase SAGA/ADA, catalytic subunit PCAF/GCN5 and related proteins	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
409	229	KOG1041	Translation initiation factor 2C (eIF-2C) and related proteins	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
410	230	KOG1914	mRNA cleavage and polyadenylation factor I complex, subunit RNA14	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
411	231	KOG3265	Histone chaperone involved in gene silencing	Transcription 	INFORMATION STORAGE AND PROCESSING
411	231	KOG3265	Histone chaperone involved in gene silencing	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
412	232	KOG1983	Tomosyn and related SNARE-interacting proteins	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
414	234	KOG3943	THUMP domain-containing proteins	General function prediction only 	POORLY CHARACTERIZED
415	235	KOG1184	Thiamine pyrophosphate-requiring enzyme	Amino acid transport and metabolism 	METABOLISM
415	235	KOG1184	Thiamine pyrophosphate-requiring enzyme	Coenzyme transport and metabolism 	METABOLISM
416	236	KOG0198	MEKK and related serine/threonine protein kinases	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
417	237	KOG2604	Subunit of cis-Golgi transport vesicle tethering complex - Sec34p	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
418	238	KOG1426	FOG: RCC1 domain	Function unknown 	POORLY CHARACTERIZED
419	239	KOG2188	Predicted RNA-binding protein, contains Pumilio domains	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
420	240	KOG0629	Glutamate decarboxylase and related proteins	Amino acid transport and metabolism 	METABOLISM
421	241	KOG2218	ER to golgi transport protein/RAD50-interacting protein 1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
421	241	KOG2218	ER to golgi transport protein/RAD50-interacting protein 1	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
422	242	KOG0967	ATP-dependent DNA ligase I	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
425	245	KOG4525	Jacalin-like lectin domain-containing protein	General function prediction only 	POORLY CHARACTERIZED
427	247	KOG4091	Transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
428	248	KOG3105	DNA-binding centromere protein B (CENP-B)	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
428	248	KOG3105	DNA-binding centromere protein B (CENP-B)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
429	249	KOG2066	Vacuolar assembly/sorting protein VPS41	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
430	250	KOG2861	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
431	251	KOG1642	Ribonuclease, T2 family	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
432	252	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED
433	253	KOG0004	Ubiquitin/40S ribosomal protein S27a fusion	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
434	254	KOG2806	Chitinase	Carbohydrate transport and metabolism 	METABOLISM
437	257	KOG0182	20S proteasome, regulatory subunit alpha type PSMA6/SCL1	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
438	258	KOG1911	Heterochromatin-associated protein HP1 and related CHROMO domain proteins	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
439	259	KOG2000	Gamma-tubulin complex, DGRIP91/SPC98 component	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
440	260	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
441	261	KOG4210	Nuclear localization sequence binding protein	Transcription 	INFORMATION STORAGE AND PROCESSING
442	262	KOG2575	Glucosyltransferase - Alg6p	Carbohydrate transport and metabolism 	METABOLISM
442	262	KOG2575	Glucosyltransferase - Alg6p	Amino acid transport and metabolism 	METABOLISM
443	263	KOG3496	Cytochrome c oxidase assembly protein/Cu2+ chaperone COX17	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
444	264	KOG1909	Ran GTPase-activating protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
444	264	KOG1909	Ran GTPase-activating protein	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
444	264	KOG1909	Ran GTPase-activating protein	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
445	265	KOG1105	Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1	Transcription 	INFORMATION STORAGE AND PROCESSING
448	268	KOG0205	Plasma membrane H+-transporting ATPase	Inorganic ion transport and metabolism 	METABOLISM
449	269	KOG0157	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies	Lipid transport and metabolism 	METABOLISM
449	269	KOG0157	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
452	272	KOG1235	Predicted unusual protein kinase	General function prediction only 	POORLY CHARACTERIZED
453	273	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
454	274	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
455	275	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
456	276	KOG0812	SNARE protein SED5/Syntaxin 5	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
459	279	KOG2510	SWI-SNF chromatin-remodeling complex protein	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
463	283	KOG0154	RNA-binding protein RBM5 and related proteins, contain G-patch and RRM domains	General function prediction only 	POORLY CHARACTERIZED
464	284	KOG1217	Fibrillins and related proteins containing Ca2+-binding EGF-like domains	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
466	286	KOG2450	Aldehyde dehydrogenase	Energy production and conversion 	METABOLISM
467	287	KOG4569	Predicted lipase	Lipid transport and metabolism 	METABOLISM
469	289	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
469	289	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Carbohydrate transport and metabolism 	METABOLISM
470	290	KOG1441	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	Carbohydrate transport and metabolism 	METABOLISM
470	290	KOG1441	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	Amino acid transport and metabolism 	METABOLISM
471	291	KOG4179	Lysyl hydrolase/glycosyltransferase family 25	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
472	292	KOG0471	Alpha-amylase	Carbohydrate transport and metabolism 	METABOLISM
473	293	KOG2792	Putative cytochrome C oxidase assembly protein	Energy production and conversion 	METABOLISM
474	294	KOG3307	Molybdopterin converting factor subunit 2	Coenzyme transport and metabolism 	METABOLISM
475	295	KOG0516	Dystonin, GAS (Growth-arrest-specific protein), and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
476	296	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
477	297	KOG4774	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
479	299	KOG3574	Acetyl-CoA transporter	Inorganic ion transport and metabolism 	METABOLISM
481	301	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
482	302	KOG1515	Arylacetamide deacetylase	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
483	303	KOG2071	mRNA cleavage and polyadenylation factor I/II complex, subunit Pcf11	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
484	304	KOG1575	Voltage-gated shaker-like K+ channel, subunit beta/KCNAB	Energy production and conversion 	METABOLISM
485	305	KOG2728	Uncharacterized conserved protein with similarity to phosphopantothenoylcysteine synthetase/decarboxylase	General function prediction only 	POORLY CHARACTERIZED
486	306	KOG1577	Aldo/keto reductase family proteins	General function prediction only 	POORLY CHARACTERIZED
489	309	KOG1178	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
490	310	KOG2533	Permease of the major facilitator superfamily	Carbohydrate transport and metabolism 	METABOLISM
492	312	KOG2246	Galactosyltransferases	Carbohydrate transport and metabolism 	METABOLISM
494	314	KOG0335	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
495	315	KOG2201	Pantothenate kinase PanK and related proteins	Coenzyme transport and metabolism 	METABOLISM
496	316	KOG3059	N-acetylglucosaminyltransferase complex, subunit PIG-C/GPI2, required for phosphatidylinositol biosynthesis	Lipid transport and metabolism 	METABOLISM
497	317	KOG2806	Chitinase	Carbohydrate transport and metabolism 	METABOLISM
498	318	KOG0785	Isocitrate dehydrogenase, alpha subunit	Amino acid transport and metabolism 	METABOLISM
501	321	KOG2451	Aldehyde dehydrogenase	Energy production and conversion 	METABOLISM
