#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
11	IPR004810	Formyltetrahydrofolate deformylase	HMMPIR	PIRSF036480	Formyltetrahydrofolate deformylase	1	2,	287,	3.9e-161
11	IPR004810	Formyltetrahydrofolate deformylase	HMMTigr	TIGR00655	PurU: formyltetrahydrofolate deformylase	1	9,	286,	6.8e-116
11	IPR002376	Formyl transferase, N-terminal	superfamily	SSF53328	Formyltransferase	1	91,	287,	3.3e-69
12	IPR001958	Tetracycline resistance protein, TetA	FPrintScan	PR01035	TCRTETA	3	147,236,266,	163,257,288,	1.2e-06,1.2e-06,1.2e-06
12	IPR011701	Major facilitator superfamily MFS-1	HMMPfam	PF07690	MFS_1	1	141,	566,	4e-38
12	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	137,	602,	18.991
12	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	126,	615,	3.5e-55
13	IPR003534	Major royal jelly protein	HMMPfam	PF03022	MRJP	1	148,	472,	9.4e-13
14	IPR000182	GCN5-related N-acetyltransferase	HMMPfam	PF00583	Acetyltransf_1	1	78,	194,	0.00016
14	IPR000182	GCN5-related N-acetyltransferase	ProfileScan	PS51186	GNAT	1	59,	214,	11.258
14	IPR016181	Acyl-CoA N-acyltransferase	superfamily	SSF55729	Acyl-CoA N-acyltransferases (Nat)	1	1,	202,	6.3e-22
15	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	14,	57,	0.0045
15	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	15,	47,	NA
15	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	3,	61,	2.5e-05
16	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	92,	130,	0.00017
16	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	88,	132,	5.7e-05
16	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	93,	123,	10.326
16	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	93,	121,	8e-5
16	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	81,	135,	1.5e-10
17	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	92,	130,	0.00017
17	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	88,	132,	5.7e-05
17	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	93,	123,	10.326
17	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	93,	121,	8e-5
17	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	81,	135,	1.5e-10
18	IPR003042	Aromatic-ring hydroxylase	FPrintScan	PR00420	RNGMNOXGNASE	3	47,415,430,	69,430,446,	1.2e-09,1.2e-09,1.2e-09
18	IPR006076	FAD dependent oxidoreductase	HMMPfam	PF01266	DAO	1	47,	83,	5.7e-07
19	IPR003480	Transferase	HMMPfam	PF02458	Transferase	1	186,	211,	2.9e-08
20	IPR001002	Chitin-binding, type 1	BlastProDom	PD000609	Q8WZJ0_MAGGR_Q8WZJ0;	3	70,166,262,	104,204,297,	3e-06,5e-06,7e-06
20	IPR001002	Chitin-binding, type 1	HMMPfam	PF00187	Chitin_bind_1	1	68,	110,	7.4e-07
20	IPR001002	Chitin-binding, type 1	HMMSmart	SM00270	no description	3	70,166,261,	106,206,299,	1.7e-06,0.00054,0.017
20	IPR001002	Chitin-binding, type 1	ProfileScan	PS50941	CHIT_BIND_I_2	3	68,164,259,	112,211,305,	8.594,8.618,8.683
20	IPR001002	Chitin-binding, type 1	superfamily	SSF57016	Plant lectins/antimicrobial peptides	3	69,165,260,	120,212,306,	9.6e-07,5.3e-07,6.4e-08
21	IPR000425	Major intrinsic protein	BlastProDom	PD000295	Q7SGN1_NEUCR_Q7SGN1;	1	102,	309,	2e-107
21	IPR000425	Major intrinsic protein	FPrintScan	PR00783	MINTRINSICP	6	99,145,182,227,258,296,	118,169,201,245,280,316,	5e-37,5e-37,5e-37,5e-37,5e-37,5e-37
21	IPR000425	Major intrinsic protein	HMMPfam	PF00230	MIP	1	94,	313,	1e-41
21	IPR000425	Major intrinsic protein	ScanRegExp	PS00221	MIP	1	163,	171,	NA
21	IPR000425	Major intrinsic protein	superfamily	SSF81338	Aquaporin-like	1	88,	333,	4.3e-59
22	IPR002108	Actin-binding, cofilin/tropomyosin type	HMMPfam	PF00241	Cofilin_ADF	1	6,	133,	4.4e-09
22	IPR002108	Actin-binding, cofilin/tropomyosin type	HMMSmart	SM00102	no description	1	6,	133,	0.00025
23	IPR001764	Glycoside hydrolase, family 3, N-terminal	FPrintScan	PR00133	GLHYDRLASE3	5	170,194,241,272,349,	186,213,257,288,367,	4.4e-36,4.4e-36,4.4e-36,4.4e-36,4.4e-36
23	IPR001764	Glycoside hydrolase, family 3, N-terminal	HMMPfam	PF00933	Glyco_hydro_3	1	168,	383,	1.8e-119
23	IPR002772	Glycoside hydrolase, family 3, C-terminal	HMMPfam	PF01915	Glyco_hydro_3_C	1	490,	744,	4.1e-94
23	IPR001764	Glycoside hydrolase, family 3, N-terminal	ScanRegExp	PS00775	GLYCOSYL_HYDROL_F3	1	349,	366,	8e-5
23	IPR017853	Glycoside hydrolase, catalytic core	superfamily	SSF51445	(Trans)glycosidases	1	124,	489,	6.4e-106
23	IPR002772	Glycoside hydrolase, family 3, C-terminal	superfamily	SSF52279	Beta-D-glucan exohydrolase, C-terminal domain	1	490,	767,	4.8e-36
24	IPR011700	Basic leucine zipper	HMMPfam	PF07716	bZIP_2	1	151,	204,	6.5e-07
24	IPR004827	Basic-leucine zipper (bZIP) transcription factor	HMMSmart	SM00338	no description	1	149,	214,	2.6e-07
24	IPR004827	Basic-leucine zipper (bZIP) transcription factor	ProfileScan	PS50217	BZIP	1	158,	215,	9.875
24	IPR004827	Basic-leucine zipper (bZIP) transcription factor	ScanRegExp	PS00036	BZIP_BASIC	1	158,	172,	8e-5
25	IPR003439	ABC transporter-like	BlastProDom	PD000006	Q7SGM7_NEUCR_Q7SGM7;	2	370,1061,	411,1105,	2e-10,9e-16
25	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC_tran	2	253,954,	446,1139,	6.8e-15,3.2e-21
25	IPR013525	ABC-2 type transporter	HMMPfam	PF01061	ABC2_membrane	2	563,1248,	776,1472,	8.9e-60,1.2e-48
25	IPR010929	CDR ABC transporter	HMMPfam	PF06422	PDR_CDR	1	787,	943,	6.9e-53
25	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	2	252,953,	447,1140,	1.9,3.2e-12
25	IPR003439	ABC transporter-like	ProfileScan	PS50893	ABC_TRANSPORTER_2	2	228,925,	470,1164,	13.759,12.465
25	IPR002114	Phosphotransferase system, HPr serine phosphorylation site	ScanRegExp	PS00589	PTS_HPR_SER	1	1037,	1052,	NA
25	IPR011527	ABC transporter, transmembrane region, type 1	superfamily	SSF90123	Multidrug resistance ABC transporter MsbA, N-terminal domain	1	640,	726,	0.015
26	IPR002198	Short-chain dehydrogenase/reductase SDR	FPrintScan	PR00080	SDRFAMILY	3	96,174,195,	107,182,214,	5e-05,5e-05,5e-05
26	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	6	19,96,168,195,216,258,	36,107,184,214,233,278,	5.5e-30,5.5e-30,5.5e-30,5.5e-30,5.5e-30,5.5e-30
26	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	1	18,	214,	6.9e-06
26	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	16,	292,	1.1e-53
27	IPR006108	3-hydroxyacyl-CoA dehydrogenase, C-terminal	HMMPfam	PF00725	3HCDH	1	193,	290,	1.2e-05
27	IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding	HMMPfam	PF02737	3HCDH_N	1	10,	191,	1.2e-24
27	IPR000033	Low-density lipoprotein receptor, YWTD repeat	HMMSmart	SM00135	no description	4	348,397,445,510,	396,444,498,556,	0.0024,1.4e+02,2.6,64
27	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	superfamily	SSF48179	6-phosphogluconate dehydrogenase C-terminal domain-like	1	193,	293,	7.4e-18
27	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	7,	191,	6.3e-31
29	IPR001199	Cytochrome b5	BlastProDom	PD000612	Q7SGM3_NEUCR_Q7SGM3;	1	5,	77,	4e-36
29	IPR001199	Cytochrome b5	FPrintScan	PR00363	CYTOCHROMEB5	4	27,37,52,65,	37,51,59,77,	7.9e-10,7.9e-10,7.9e-10,7.9e-10
29	IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase	FPrintScan	PR00371	FPNCR	4	301,361,399,455,	308,380,410,463,	2.1e-07,2.1e-07,2.1e-07,2.1e-07
29	IPR001834	NADH:cytochrome b5 reductase (CBR)	FPrintScan	PR00406	CYTB5RDTASE	6	280,301,337,361,399,455,	291,308,351,380,410,463,	3.9e-30,3.9e-30,3.9e-30,3.9e-30,3.9e-30,3.9e-30
29	IPR001199	Cytochrome b5	HMMPfam	PF00173	Cyt-b5	1	4,	78,	2.4e-22
29	IPR001433	Oxidoreductase FAD/NAD(P)-binding	HMMPfam	PF00175	NAD_binding_1	1	361,	470,	1.5e-38
29	IPR008333	Oxidoreductase FAD-binding region	HMMPfam	PF00970	FAD_binding_6	1	253,	351,	1.4e-42
29	IPR001199	Cytochrome b5	ProfileScan	PS50255	CYTOCHROME_B5_2	1	2,	78,	25.632
29	IPR001199	Cytochrome b5	ScanRegExp	PS00191	CYTOCHROME_B5_1	1	33,	40,	8e-5
29	IPR001199	Cytochrome b5	superfamily	SSF55856	Cytochrome b5-like heme/steroid binding domain	1	1,	77,	6.6e-31
30	IPR001128	Cytochrome P450	FPrintScan	PR00385	P450	4	354,408,484,493,	371,419,493,504,	2e-11,2e-11,2e-11,2e-11
30	IPR002403	Cytochrome P450, E-class, group IV	FPrintScan	PR00465	EP450IV	5	345,403,453,477,493,	371,419,471,493,511,	1.6e-18,1.6e-18,1.6e-18,1.6e-18,1.6e-18
30	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	325,	542,	3.4e-49
30	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	83,	545,	2.4e-93
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	73,	113,	1.9e-05
31	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	565,	658,	0.00024
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	69,	114,	0.0067
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	74,	105,	10.007
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	74,	103,	8e-5
31	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	62,	117,	1.4e-08
32	IPR000008	C2 calcium-dependent membrane targeting	FPrintScan	PR00360	C2DOMAIN	2	631,683,	643,691,	5.6,5.6
32	IPR000008	C2 calcium-dependent membrane targeting	HMMPfam	PF00168	C2	2	611,826,	703,929,	8e-22,1.6e-07
32	IPR000008	C2 calcium-dependent membrane targeting	HMMSmart	SM00239	no description	2	610,825,	718,944,	1.5e-14,0.00023
32	IPR000008	C2 calcium-dependent membrane targeting	ProfileScan	PS50004	C2	1	604,	703,	11.048
32	IPR008973	C2 calcium/lipid-binding region, CaLB	superfamily	SSF49562	C2 domain (Calcium/lipid-binding domain, CaLB)	2	591,810,	751,964,	1.5e-22,1.1e-16
34	IPR013057	Amino acid transporter, transmembrane	HMMPfam	PF01490	Aa_trans	1	37,	439,	9.4e-76
36	IPR001452	Src homology-3	BlastProDom	PD000066	Q7SGL6_NEUCR_Q7SGL6;	1	268,	319,	8e-24
36	IPR001452	Src homology-3	FPrintScan	PR00452	SH3DOMAIN	4	266,282,298,310,	276,297,307,322,	0.00019,0.00019,0.00019,0.00019
36	IPR001452	Src homology-3	HMMPfam	PF00018	SH3_1	1	266,	322,	6.9e-12
36	IPR001452	Src homology-3	HMMSmart	SM00326	no description	1	266,	323,	2.2e-12
36	IPR001452	Src homology-3	ProfileScan	PS50002	SH3	1	263,	322,	13.646
36	IPR002345	Lipocalin	ScanRegExp	PS00213	LIPOCALIN	1	293,	304,	NA
36	IPR001452	Src homology-3	superfamily	SSF50044	SH3-domain	1	224,	322,	7.5e-13
37	IPR013251	DASH complex, subunit Spc19	HMMPfam	PF08287	DASH_Spc19	1	13,	170,	5e-10
39	IPR004443	YjeF-related protein, N-terminal	HMMPfam	PF03853	YjeF_N	1	22,	188,	7.3e-56
39	IPR004443	YjeF-related protein, N-terminal	HMMTigr	TIGR00197	yjeF_nterm: YjeF homolog, N-terminus	1	4,	207,	1.2e-38
39	IPR004443	YjeF-related protein, N-terminal	superfamily	SSF64153	YjeF N-terminal domain-like	1	3,	229,	7.2e-63
40	IPR000307	Ribosomal protein S16	BlastProDom	PD003791	RT24_NEUCR_P08580;	1	10,	100,	2e-49
40	IPR000307	Ribosomal protein S16	HMMPfam	PF00886	Ribosomal_S16	1	9,	77,	2.8e-41
40	IPR000307	Ribosomal protein S16	HMMTigr	TIGR00002	S16: ribosomal protein S16	1	3,	90,	6.6e-36
40	IPR000307	Ribosomal protein S16	ScanRegExp	PS00732	RIBOSOMAL_S16	1	3,	12,	NA
40	IPR000307	Ribosomal protein S16	superfamily	SSF54565	Ribosomal protein S16	1	2,	93,	4.5e-26
41	IPR000757	Glycoside hydrolase, family 16	HMMPfam	PF00722	Glyco_hydro_16	1	50,	224,	8.7e-61
41	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	1	2,	249,	1.4e-61
42	IPR010989	t-SNARE	superfamily	SSF47661	t-snare proteins	1	200,	301,	0.018
45	IPR013026	Tetratricopeptide region	ProfileScan	PS50005	TPR	3	28,428,471,	61,461,504,	8.555,5.458,5.487
46	IPR002048	Calcium-binding EF-hand	ScanRegExp	PS00018	EF_HAND_1	1	141,	153,	NA
49	IPR001899	Surface protein from Gram-positive cocci, anchor region	HMMPfam	PF00746	Gram_pos_anchor	1	53,	84,	3.3e-05
49	IPR001899	Surface protein from Gram-positive cocci, anchor region	HMMTigr	TIGR01167	LPXTG_anchor: LPXTG-motif cell wall anch	1	53,	85,	0.0082
56	IPR000805	Glycoside hydrolase, family 26	HMMPfam	PF02156	Glyco_hydro_26	1	198,	219,	0.00018
56	IPR017853	Glycoside hydrolase, catalytic core	superfamily	SSF51445	(Trans)glycosidases	1	8,	294,	1.1e-62
63	IPR012577	NIPSNAP	HMMPfam	PF07978	NIPSNAP	1	232,	329,	2.6e-42
64	IPR006995	ATPase, F0 complex, subunit J	HMMPfam	PF04911	ATP-synt_J	1	8,	64,	2.2e-10
65	IPR005645	Protein of unknown function DUF341	HMMPfam	PF03959	FSH1	1	96,	382,	6.6e-10
69	IPR011050	Pectin lyase fold/virulence factor	superfamily	SSF51126	Pectin lyase-like	2	16,369,	357,834,	9.4e-65,7.9e-61
73	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	202,	328,	0.0093
75	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	194,	398,	0.015
78	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	203,	380,	2.4e-07
79	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	182,	382,	1.4e-05
80	IPR004331	SPX, N-terminal	HMMPfam	PF03105	SPX	1	1,	154,	2.3e-29
81	IPR017408	Arginine N-methyltransferase 2	HMMPIR	PIRSF038148	Arginine N-methyltransferase 2	1	1,	429,	5.7e-258
81	IPR002110	Ankyrin	superfamily	SSF48403	Ankyrin repeat	1	16,	128,	1.8e-09
82	IPR001128	Cytochrome P450	FPrintScan	PR00385	P450	4	323,380,465,474,	340,391,474,485,	1.4e-08,1.4e-08,1.4e-08,1.4e-08
82	IPR002401	Cytochrome P450, E-class, group I	FPrintScan	PR00463	EP450I	4	205,332,464,474,	223,358,474,497,	2.5e-10,2.5e-10,2.5e-10,2.5e-10
82	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	321,	508,	7.4e-29
82	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	44,	526,	7.2e-71
84	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar_tr	1	42,	495,	3.4e-88
84	IPR003663	Sugar transporter	HMMTigr	TIGR00879	SP: MFS transporter, sugar porter (SP) famil	1	1,	491,	1.9e-65
84	IPR007114	Major facilitator superfamily	ProfileScan	PS50850	MFS	1	42,	484,	29.073
84	IPR005829	Sugar transporter, conserved site	ScanRegExp	PS00216	SUGAR_TRANSPORT_1	1	346,	363,	NA
84	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	19,	499,	6.5e-64
85	IPR000432	DNA mismatch repair protein MutS, C-terminal	BlastProDom	PD001263	Q7SD11_NEUCR_Q7SD11;	1	925,	1004,	2e-37
85	IPR000432	DNA mismatch repair protein MutS, C-terminal	HMMPfam	PF00488	MutS_V	1	814,	1105,	1.6e-95
85	IPR007695	DNA mismatch repair protein MutS-like, N-terminal	HMMPfam	PF01624	MutS_I	1	187,	313,	6.5e-39
85	IPR007861	DNA mismatch repair protein MutS, clamp	HMMPfam	PF05190	MutS_IV	1	674,	766,	2.8e-05
85	IPR007696	DNA mismatch repair protein MutS, core	HMMPfam	PF05192	MutS_III	1	497,	811,	2.7e-23
85	IPR007696	DNA mismatch repair protein MutS, core	HMMSmart	SM00533	no description	1	520,	841,	9.4e-53
85	IPR000432	DNA mismatch repair protein MutS, C-terminal	HMMSmart	SM00534	no description	1	875,	1100,	3.1e-92
85	IPR000432	DNA mismatch repair protein MutS, C-terminal	ScanRegExp	PS00486	DNA_MISMATCH_REPAIR_2	1	956,	972,	8e-5
85	IPR007696	DNA mismatch repair protein MutS, core	superfamily	SSF48334	DNA repair protein MutS, domain III	1	503,	813,	6.2e-65
85	IPR016151	DNA mismatch repair protein MutS, N-terminal	superfamily	SSF55271	DNA repair protein MutS, domain I	1	174,	308,	1.9e-31
86	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	168,	356,	4e-11
87	IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	HMMPfam	PF01053	Cys_Met_Meta_PP	1	263,	663,	2.3e-10
87	IPR015424	Pyridoxal phosphate-dependent transferase, major region	superfamily	SSF53383	PLP-dependent transferases	1	287,	663,	1.8e-45
88	IPR003959	AAA ATPase, core	HMMPfam	PF00004	AAA	2	556,892,	810,1081,	8.6e-09,3.5e-87
88	IPR015342	Peroxisome biogenesis factor 1, N-terminal	HMMPfam	PF09262	PEX-1N	1	138,	229,	2.1e-42
88	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	2	553,889,	704,1025,	6.9e-05,1.3e-15
88	IPR003960	AAA ATPase, conserved site	ScanRegExp	PS00674	AAA	1	993,	1011,	NA
88	IPR009010	Aspartate decarboxylase-like fold	superfamily	SSF50692	ADC-like	1	135,	229,	8.9e-21
89	IPR001208	MCM	BlastProDom	PD001041	Q7SD07_NEUCR_Q7SD07;	1	373,	408,	9e-13
89	IPR001208	MCM	FPrintScan	PR01657	MCMFAMILY	5	436,496,524,548,575,	451,510,537,560,583,	6.5e-35,6.5e-35,6.5e-35,6.5e-35,6.5e-35
89	IPR008050	MCM protein 7	FPrintScan	PR01663	MCMPROTEIN7	5	184,227,245,262,354,	196,238,256,274,364,	4.7e-21,4.7e-21,4.7e-21,4.7e-21,4.7e-21
89	IPR001208	MCM	HMMPfam	PF00493	MCM	1	382,	716,	6.7e-201
89	IPR001208	MCM	HMMSmart	SM00350	no description	1	208,	716,	3.5e-266
89	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	1	437,	589,	0.00034
89	IPR001208	MCM	ProfileScan	PS50051	MCM_2	1	395,	601,	97.938
89	IPR001208	MCM	ScanRegExp	PS00847	MCM_1	1	504,	512,	8e-5
89	IPR016027	Nucleic acid-binding, OB-fold-like	superfamily	SSF50249	Nucleic acid-binding proteins	1	63,	364,	4.8e-60
90	IPR017082	Mitochondrial ribosomal protein, fungal Rsm23	HMMPIR	PIRSF036996	Mitochondrial ribosomal protein, fungal Rsm23 type	1	1,	468,	1.2e-237
91	IPR007023	Ribosomal biogenesis regulatory protein	HMMPfam	PF04939	RRS1	1	13,	196,	1e-41
92	IPR000198	RhoGAP	HMMPfam	PF00620	RhoGAP	1	395,	543,	2.1e-25
92	IPR000198	RhoGAP	HMMSmart	SM00324	no description	1	394,	566,	3.7e-24
92	IPR000198	RhoGAP	ProfileScan	PS50238	RHOGAP	1	381,	572,	23.320
92	IPR001969	Peptidase aspartic, active site	ScanRegExp	PS00141	ASP_PROTEASE	1	662,	673,	NA
92	IPR008936	Rho GTPase activation protein	superfamily	SSF48350	GTPase activation domain, GAP	1	388,	560,	3.3e-34
93	IPR000198	RhoGAP	HMMPfam	PF00620	RhoGAP	1	395,	543,	2.1e-25
93	IPR000198	RhoGAP	HMMSmart	SM00324	no description	1	394,	566,	3.7e-24
93	IPR000198	RhoGAP	ProfileScan	PS50238	RHOGAP	1	381,	572,	23.320
93	IPR001969	Peptidase aspartic, active site	ScanRegExp	PS00141	ASP_PROTEASE	1	662,	673,	NA
93	IPR008936	Rho GTPase activation protein	superfamily	SSF48350	GTPase activation domain, GAP	1	388,	560,	3.3e-34
94	IPR000198	RhoGAP	HMMPfam	PF00620	RhoGAP	1	416,	564,	2.1e-25
94	IPR000198	RhoGAP	HMMSmart	SM00324	no description	1	415,	587,	3.7e-24
94	IPR000198	RhoGAP	ProfileScan	PS50238	RHOGAP	1	402,	593,	23.320
94	IPR001969	Peptidase aspartic, active site	ScanRegExp	PS00141	ASP_PROTEASE	1	683,	694,	NA
94	IPR008936	Rho GTPase activation protein	superfamily	SSF48350	GTPase activation domain, GAP	1	409,	581,	3.3e-34
96	IPR001330	Prenyltransferase/squalene oxidase	HMMPfam	PF00432	Prenyltrans	6	69,84,139,186,234,282,	79,127,181,229,277,326,	1,9.2e-12,5.9e-06,3.9e-10,3.2e-11,1.2e-12
96	IPR008930	Terpenoid cylases/protein prenyltransferase alpha-alpha toroid	superfamily	SSF48239	Terpenoid cyclases/Protein prenyltransferases	1	34,	347,	2.5e-107
98	IPR011059	Metal-dependent hydrolase, composite	superfamily	SSF51338	Composite domain of metallo-dependent hydrolases	1	239,	340,	0.013
99	IPR008011	Complex 1 LYR protein	HMMPfam	PF05347	Complex1_LYR	1	6,	71,	6.4e-07
100	IPR008011	Complex 1 LYR protein	HMMPfam	PF05347	Complex1_LYR	1	6,	71,	6.4e-07
101	IPR002529	Fumarylacetoacetase, C-terminal-like	HMMPfam	PF01557	FAA_hydrolase	1	1,	168,	1.4e-69
101	IPR011234	Fumarylacetoacetase, C-terminal-related	superfamily	SSF56529	FAH	1	1,	193,	7e-66
102	IPR002529	Fumarylacetoacetase, C-terminal-like	HMMPfam	PF01557	FAA_hydrolase	1	86,	255,	2.1e-72
102	IPR011234	Fumarylacetoacetase, C-terminal-related	superfamily	SSF56529	FAH	1	55,	280,	1.9e-74
103	IPR001025	Bromo adjacent region	HMMPfam	PF01426	BAH	1	120,	236,	4e-07
103	IPR001025	Bromo adjacent region	ProfileScan	PS51038	BAH	1	144,	266,	10.445
103	IPR011011	Zinc finger, FYVE/PHD-type	superfamily	SSF57903	FYVE/PHD zinc finger	1	260,	299,	0.011
104	IPR011701	Major facilitator superfamily MFS-1	HMMPfam	PF07690	MFS_1	1	436,	653,	7e-08
104	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	396,	689,	5.6e-19
