#proteinId	gotermId	goName	gotermType	goAcc
88	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
88	8400	protein transport	biological_process	GO:0015031
88	3827	intracellular	cellular_component	GO:0005622
88	4994	intracellular protein transport	biological_process	GO:0006886
89	2337	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	molecular_function	GO:0003871
89	6695	methionine biosynthetic process	biological_process	GO:0009086
91	5830	metabolic process	biological_process	GO:0008152
91	9710	oxidoreductase activity	molecular_function	GO:0016491
91	2290	catalytic activity	molecular_function	GO:0003824
91	3708	binding	molecular_function	GO:0005488
91	21456	D-arabinitol 2-dehydrogenase activity	molecular_function	GO:0047038
92	2533	carboxylesterase activity	molecular_function	GO:0004091
94	2227	structural constituent of ribosome	molecular_function	GO:0003735
94	3827	intracellular	cellular_component	GO:0005622
94	4025	ribosome	cellular_component	GO:0005840
94	4556	translation	biological_process	GO:0006412
95	2917	exonuclease activity	molecular_function	GO:0004527
95	3827	intracellular	cellular_component	GO:0005622
95	2175	nucleic acid binding	molecular_function	GO:0003676
96	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
96	4143	carbohydrate metabolic process	biological_process	GO:0005975
96	2942	beta-fructofuranosidase activity	molecular_function	GO:0004564
97	2176	DNA binding	molecular_function	GO:0003677
97	4434	regulation of DNA replication	biological_process	GO:0006275
101	2175	nucleic acid binding	molecular_function	GO:0003676
101	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
101	3736	ATP binding	molecular_function	GO:0005524
101	4556	translation	biological_process	GO:0006412
102	2567	cytochrome-c oxidase activity	molecular_function	GO:0004129
102	3931	mitochondrion	cellular_component	GO:0005739
102	4283	electron transport	biological_process	GO:0006118
104	21295	metal ion binding	molecular_function	GO:0046872
104	6361	L-fuculose-phosphate aldolase activity	molecular_function	GO:0008738
105	4637	GPI anchor biosynthetic process	biological_process	GO:0006506
105	9321	integral to membrane	cellular_component	GO:0016021
105	10330	phosphatidylinositol N-acetylglucosaminyltransferase activity	molecular_function	GO:0017176
106	3736	ATP binding	molecular_function	GO:0005524
106	4457	mismatch repair	biological_process	GO:0006298
106	13828	mismatched DNA binding	molecular_function	GO:0030983
106	15136	MutSalpha complex	cellular_component	GO:0032301
106	15137	MutSbeta complex	cellular_component	GO:0032302
109	2175	nucleic acid binding	molecular_function	GO:0003676
109	3827	intracellular	cellular_component	GO:0005622
109	5939	zinc ion binding	molecular_function	GO:0008270
112	2175	nucleic acid binding	molecular_function	GO:0003676
112	3827	intracellular	cellular_component	GO:0005622
112	4301	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	biological_process	GO:0006139
112	6068	3'-5' exonuclease activity	molecular_function	GO:0008408
112	172	nuclear exosome (RNase complex)	cellular_component	GO:0000176
112	4541	RNA processing	biological_process	GO:0006396
112	171	3'-5'-exoribonuclease activity	molecular_function	GO:0000175
112	2924	5'-3' exoribonuclease activity	molecular_function	GO:0004534
116	3435	Ras GTPase activator activity	molecular_function	GO:0005099
116	3827	intracellular	cellular_component	GO:0005622
116	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
116	3432	GTPase activator activity	molecular_function	GO:0005096
116	24310	regulation of small GTPase mediated signal transduction	biological_process	GO:0051056
116	5250	signal transduction	biological_process	GO:0007165
117	3546	transporter activity	molecular_function	GO:0005215
117	3827	intracellular	cellular_component	GO:0005622
117	4927	transport	biological_process	GO:0006810
117	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
117	3093	prenylated protein tyrosine phosphatase activity	molecular_function	GO:0004727
119	9321	integral to membrane	cellular_component	GO:0016021
120	2216	RNA binding	molecular_function	GO:0003723
121	5765	N-acetyltransferase activity	molecular_function	GO:0008080
121	5830	metabolic process	biological_process	GO:0008152
121	2585	dihydrolipoamide branched chain acyltransferase activity	molecular_function	GO:0004147
121	2803	H2A/H2B histone acetyltransferase activity	molecular_function	GO:0004405
121	2804	H3/H4 histone acetyltransferase activity	molecular_function	GO:0004406
121	6038	O-acyltransferase activity	molecular_function	GO:0008374
121	6075	acyltransferase activity	molecular_function	GO:0008415
121	6565	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity	molecular_function	GO:0008951
121	9635	carnitine O-acyltransferase activity	molecular_function	GO:0016406
121	9636	acetyltransferase activity	molecular_function	GO:0016407
121	9637	C-acyltransferase activity	molecular_function	GO:0016408
121	9638	palmitoyltransferase activity	molecular_function	GO:0016409
121	9639	N-acyltransferase activity	molecular_function	GO:0016410
121	9640	acylglycerol O-acyltransferase activity	molecular_function	GO:0016411
121	9641	serine O-acyltransferase activity	molecular_function	GO:0016412
121	9642	O-acetyltransferase activity	molecular_function	GO:0016413
121	9643	O-octanoyltransferase activity	molecular_function	GO:0016414
121	9644	octanoyltransferase activity	molecular_function	GO:0016415
121	9645	O-palmitoyltransferase activity	molecular_function	GO:0016416
121	9646	S-acyltransferase activity	molecular_function	GO:0016417
121	9647	S-acetyltransferase activity	molecular_function	GO:0016418
121	9648	S-malonyltransferase activity	molecular_function	GO:0016419
121	9649	malonyltransferase activity	molecular_function	GO:0016420
121	9676	C-palmitoyltransferase activity	molecular_function	GO:0016454
121	9947	succinyltransferase activity	molecular_function	GO:0016748
121	9948	N-succinyltransferase activity	molecular_function	GO:0016749
121	9949	O-succinyltransferase activity	molecular_function	GO:0016750
121	9950	S-succinyltransferase activity	molecular_function	GO:0016751
121	9951	sinapoyltransferase activity	molecular_function	GO:0016752
121	9952	O-sinapoyltransferase activity	molecular_function	GO:0016753
121	10381	peptidyl-lysine N6-myristoyltransferase activity	molecular_function	GO:0018030
121	10382	peptidyl-lysine N6-palmitoyltransferase activity	molecular_function	GO:0018031
121	11014	benzoyl acetate-CoA thiolase activity	molecular_function	GO:0018711
121	11015	3-hydroxybutyryl-CoA thiolase activity	molecular_function	GO:0018712
121	11016	3-ketopimelyl-CoA thiolase activity	molecular_function	GO:0018713
121	11390	N-palmitoyltransferase activity	molecular_function	GO:0019105
121	11391	myristoyltransferase activity	molecular_function	GO:0019107
121	11465	acyl-CoA N-acyltransferase activity	molecular_function	GO:0019186
121	11963	protein-cysteine S-myristoyltransferase activity	molecular_function	GO:0019705
121	11964	protein-cysteine S-palmitoleyltransferase activity	molecular_function	GO:0019706
121	11965	protein-cysteine S-acyltransferase activity	molecular_function	GO:0019707
121	15051	glucosaminyl-phosphotidylinositol O-acyltransferase activity	molecular_function	GO:0032216
121	19206	L-2-aminoadipate N-acetyltransferase activity	molecular_function	GO:0043741
121	19228	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity	molecular_function	GO:0043764
121	19270	keto acid formate lyase activity	molecular_function	GO:0043806
121	19313	Ras palmitoyltransferase activity	molecular_function	GO:0043849
121	21363	azetidine-2-carboxylic acid acetyltransferase activity	molecular_function	GO:0046941
122	162	nucleotide binding	molecular_function	GO:0000166
122	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
122	3736	ATP binding	molecular_function	GO:0005524
122	3930	cytoplasm	cellular_component	GO:0005737
122	4556	translation	biological_process	GO:0006412
122	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
122	2981	phosphatidylcholine-sterol O-acyltransferase activity	molecular_function	GO:0004607
122	4758	lipid metabolic process	biological_process	GO:0006629
122	20466	phospholipid:diacylglycerol acyltransferase activity	molecular_function	GO:0046027
123	2290	catalytic activity	molecular_function	GO:0003824
123	9320	membrane	cellular_component	GO:0016020
123	19306	Kdo transferase activity	molecular_function	GO:0043842
123	24585	regulation of transferase activity	biological_process	GO:0051338
123	25215	regulation of telomerase activity	biological_process	GO:0051972
127	4123	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
127	4602	protein amino acid phosphorylation	biological_process	GO:0006468
127	6243	cAMP-dependent protein kinase regulator activity	molecular_function	GO:0008603
128	9907	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	molecular_function	GO:0016706
128	11802	protein metabolic process	biological_process	GO:0019538
129	2196	transcription factor activity	molecular_function	GO:0003700
129	3838	nucleus	cellular_component	GO:0005634
129	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
129	19030	sequence-specific DNA binding	molecular_function	GO:0043565
134	3838	nucleus	cellular_component	GO:0005634
135	3043	protein kinase activity	molecular_function	GO:0004672
135	3736	ATP binding	molecular_function	GO:0005524
135	4602	protein amino acid phosphorylation	biological_process	GO:0006468
135	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
135	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
135	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
135	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
135	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
135	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
135	3050	casein kinase activity	molecular_function	GO:0004680
135	3051	casein kinase I activity	molecular_function	GO:0004681
135	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
135	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
135	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
135	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
135	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
135	3067	atypical protein kinase C activity	molecular_function	GO:0004700
135	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
135	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
135	3071	JUN kinase activity	molecular_function	GO:0004705
135	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
135	3074	MAP kinase kinase activity	molecular_function	GO:0004708
135	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
135	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
135	3084	Janus kinase activity	molecular_function	GO:0004718
135	6004	MAP kinase 1 activity	molecular_function	GO:0008338
135	6005	MP kinase activity	molecular_function	GO:0008339
135	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
135	6196	JUN kinase kinase activity	molecular_function	GO:0008545
135	10102	MAP kinase 2 activity	molecular_function	GO:0016908
135	10103	SAP kinase activity	molecular_function	GO:0016909
135	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
135	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
135	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
137	2588	dihydroneopterin aldolase activity	molecular_function	GO:0004150
137	4882	folic acid and derivative metabolic process	biological_process	GO:0006760
138	2175	nucleic acid binding	molecular_function	GO:0003676
139	2612	electron-transferring-flavoprotein dehydrogenase activity	molecular_function	GO:0004174
139	4283	electron transport	biological_process	GO:0006118
140	2176	DNA binding	molecular_function	GO:0003677
140	2198	RNA polymerase II transcription factor activity	molecular_function	GO:0003702
140	3838	nucleus	cellular_component	GO:0005634
140	3868	transcription factor TFIID complex	cellular_component	GO:0005669
140	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
140	4515	transcription initiation from RNA polymerase II promoter	biological_process	GO:0006367
141	9710	oxidoreductase activity	molecular_function	GO:0016491
141	5797	sarcosine oxidase activity	molecular_function	GO:0008115
142	5830	metabolic process	biological_process	GO:0008152
142	5846	methyltransferase activity	molecular_function	GO:0008168
144	2196	transcription factor activity	molecular_function	GO:0003700
144	3838	nucleus	cellular_component	GO:0005634
144	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
144	5939	zinc ion binding	molecular_function	GO:0008270
144	2176	DNA binding	molecular_function	GO:0003677
144	4499	transcription	biological_process	GO:0006350
148	3966	peroxisome	cellular_component	GO:0005777
148	9320	membrane	cellular_component	GO:0016020
148	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
148	2357	DNA-directed RNA polymerase I activity	molecular_function	GO:0003900
148	2358	DNA-directed RNA polymerase II activity	molecular_function	GO:0003901
148	2359	DNA-directed RNA polymerase III activity	molecular_function	GO:0003902
148	16888	RNA polymerase activity	molecular_function	GO:0034062
149	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
149	2975	cyclophilin	molecular_function	GO:0004600
149	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
149	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
150	9985	hydrolase activity	molecular_function	GO:0016787
150	3195	tubulin-tyrosine ligase activity	molecular_function	GO:0004835
150	4598	protein modification process	biological_process	GO:0006464
152	3708	binding	molecular_function	GO:0005488
153	10083	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	molecular_function	GO:0016888
154	2802	histone acetyltransferase activity	molecular_function	GO:0004402
155	9321	integral to membrane	cellular_component	GO:0016021
160	2741	galactokinase activity	molecular_function	GO:0004335
160	3736	ATP binding	molecular_function	GO:0005524
160	4180	galactose metabolic process	biological_process	GO:0006012
160	21261	carbohydrate phosphorylation	biological_process	GO:0046835
160	9573	kinase activity	molecular_function	GO:0016301
160	9581	phosphorylation	biological_process	GO:0016310
160	3930	cytoplasm	cellular_component	GO:0005737
160	5830	metabolic process	biological_process	GO:0008152
160	9971	phosphotransferase activity, alcohol group as acceptor	molecular_function	GO:0016773
161	281	magnesium ion binding	molecular_function	GO:0000287
161	9940	transferase activity	molecular_function	GO:0016740
161	13821	thiamin pyrophosphate binding	molecular_function	GO:0030976
161	2290	catalytic activity	molecular_function	GO:0003824
161	2432	acetolactate synthase activity	molecular_function	GO:0003984
161	6691	branched chain family amino acid biosynthetic process	biological_process	GO:0009082
161	23919	FAD binding	molecular_function	GO:0050660
162	3727	protein binding	molecular_function	GO:0005515
162	5939	zinc ion binding	molecular_function	GO:0008270
164	3737	GTP binding	molecular_function	GO:0005525
164	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
164	3827	intracellular	cellular_component	GO:0005622
164	8400	protein transport	biological_process	GO:0015031
169	2290	catalytic activity	molecular_function	GO:0003824
170	2958	dolichyl-phosphate beta-D-mannosyltransferase activity	molecular_function	GO:0004582
174	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
175	3827	intracellular	cellular_component	GO:0005622
175	4927	transport	biological_process	GO:0006810
178	12251	heme binding	molecular_function	GO:0020037
178	21336	transition metal ion binding	molecular_function	GO:0046914
181	3043	protein kinase activity	molecular_function	GO:0004672
181	3736	ATP binding	molecular_function	GO:0005524
181	4602	protein amino acid phosphorylation	biological_process	GO:0006468
181	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
181	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
181	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
181	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
181	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
181	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
181	3050	casein kinase activity	molecular_function	GO:0004680
181	3051	casein kinase I activity	molecular_function	GO:0004681
181	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
181	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
181	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
181	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
181	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
181	3067	atypical protein kinase C activity	molecular_function	GO:0004700
181	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
181	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
181	3071	JUN kinase activity	molecular_function	GO:0004705
